StudentId,StudentName,Grade,Subject,CompletionPercentage,PerformanceScore,TimeSpentMinutes,AssignmentCompletionRate,AssessmentScore,RecordedDate,LastActivityDate
"Student 20","2","Math",50.00,0.00,59,82.00,77.00,2025-05-12 15:47:49
"Student 20","2","Reading",91.00,0.00,187,75.00,78.00,2025-05-21 15:47:49
"Student 20","2","Science",95.00,0.00,208,79.00,91.00,2025-05-19 15:47:49
"Student 20","2","Social Studies",57.00,0.00,217,75.00,70.00,2025-06-21 15:47:49
"Student 3","8","Math",50.00,0.00,75,89.00,96.00,2025-06-10 15:47:49
"Student 3","8","Reading",91.00,0.00,58,63.00,86.00,2025-07-03 15:47:49
"Student 3","8","Science",64.00,0.00,206,90.00,86.00,2025-06-07 15:47:49
"Student 3","8","Social Studies",82.00,0.00,119,56.00,80.00,2025-04-24 15:47:49
"Student 4","11","Math",68.00,0.00,210,55.00,94.00,2025-06-08 15:47:49
"Student 4","11","Reading",89.00,0.00,96,89.00,65.00,2025-05-23 15:47:49
"Student 4","11","Science",86.00,0.00,101,60.00,87.00,2025-06-14 15:47:49
"Student 4","11","Social Studies",53.00,0.00,100,59.00,73.00,2025-05-12 15:47:49
"Student 5","9","Math",54.00,0.00,49,77.00,59.00,2025-04-24 15:47:49
"Student 5","9","Reading",89.00,0.00,150,89.00,62.00,2025-06-15 15:47:49
"Student 5","9","Science",53.00,0.00,51,58.00,58.00,2025-05-03 15:47:49
"Student 5","9","Social Studies",61.00,0.00,272,73.00,91.00,2025-04-19 15:47:49
"Student 6","4","Math",79.00,0.00,226,75.00,98.00,2025-07-05 15:47:49
"Student 6","4","Reading",86.00,0.00,179,61.00,62.00,2025-06-14 15:47:49
"Student 6","4","Science",67.00,0.00,228,62.00,56.00,2025-06-19 15:47:49
"Student 6","4","Social Studies",73.00,0.00,143,82.00,56.00,2025-05-31 15:47:49
"Student 7","11","Math",65.00,0.00,30,77.00,97.00,2025-04-13 15:47:49
"Student 7","11","Reading",98.00,0.00,178,80.00,80.00,2025-06-04 15:47:49
"Student 7","11","Science",55.00,0.00,163,96.00,89.00,2025-06-05 15:47:49
"Student 7","11","Social Studies",94.00,0.00,225,97.00,81.00,2025-06-20 15:47:49
"Student 8","12","Math",70.00,0.00,100,60.00,65.00,2025-05-10 15:47:49
"Student 8","12","Reading",69.00,0.00,233,54.00,89.00,2025-06-08 15:47:49
"Student 8","12","Science",80.00,0.00,236,74.00,91.00,2025-06-10 15:47:49
"Student 8","12","Social Studies",91.00,0.00,136,86.00,62.00,2025-06-24 15:47:49
"Student 9","5","Math",82.00,0.00,248,74.00,69.00,2025-06-07 15:47:49
"Student 9","5","Reading",98.00,0.00,34,92.00,72.00,2025-06-10 15:47:49
"Student 9","5","Science",91.00,0.00,136,78.00,64.00,2025-05-23 15:47:49
"Student 9","5","Social Studies",87.00,0.00,89,72.00,78.00,2025-04-17 15:47:49
